Dato;Trafikkmengde_num
01.01.2024;315.0
02.01.2024;1071.0
03.01.2024;1273.0
04.01.2024;1259.0
05.01.2024;1179.0
06.01.2024;356.0
07.01.2024;340.0
08.01.2024;1329.0
09.01.2024;1421.0
10.01.2024;1345.0
11.01.2024;1273.0
12.01.2024;1009.0
13.01.2024;348.0
14.01.2024;264.0
15.01.2024;966.0
16.01.2024;460.0
17.01.2024;484.0
18.01.2024;246.0
19.01.2024;251.0
20.01.2024;168.0
21.01.2024;204.0
22.01.2024;884.0
23.01.2024;1397.0
24.01.2024;1294.0
25.01.2024;1518.0
26.01.2024;1041.0
27.01.2024;543.0
28.01.2024;438.0
29.01.2024;1686.0
30.01.2024;1662.0
31.01.2024;1085.0
01.02.2024;1087.0
02.02.2024;1036.0
03.02.2024;483.0
04.02.2024;332.0
05.02.2024;1177.0
06.02.2024;823.0
07.02.2024;485.0
08.02.2024;510.0
09.02.2024;611.0
10.02.2024;260.0
11.02.2024;221.0
12.02.2024;943.0
13.02.2024;1078.0
14.02.2024;1257.0
15.02.2024;1293.0
16.02.2024;1083.0
17.02.2024;594.0
18.02.2024;394.0
19.02.2024;1444.0
20.02.2024;1443.0
21.02.2024;1665.0
22.02.2024;1489.0
23.02.2024;1095.0
24.02.2024;563.0
25.02.2024;381.0
26.02.2024;1339.0
27.02.2024;1232.0
28.02.2024;1298.0
29.02.2024;1115.0
01.03.2024;961.0
02.03.2024;717.0
03.03.2024;847.0
04.03.2024;2036.0
05.03.2024;2238.0
06.03.2024;1927.0
07.03.2024;1964.0
08.03.2024;1785.0
09.03.2024;813.0
10.03.2024;821.0
11.03.2024;2192.0
12.03.2024;2195.0
13.03.2024;1597.0
14.03.2024;1865.0
15.03.2024;1566.0
16.03.2024;861.0
17.03.2024;747.0
18.03.2024;1898.0
19.03.2024;1740.0
20.03.2024;2091.0
21.03.2024;1611.0
22.03.2024;1424.0
23.03.2024;478.0
24.03.2024;781.0
25.03.2024;1218.0
26.03.2024;931.0
27.03.2024;676.0
28.03.2024;449.0
29.03.2024;493.0
30.03.2024;454.0
31.03.2024;520.0
01.04.2024;1120.0
02.04.2024;2627.0
03.04.2024;2229.0
04.04.2024;1747.0
05.04.2024;1681.0
06.04.2024;698.0
07.04.2024;637.0
08.04.2024;2479.0
09.04.2024;2253.0
10.04.2024;1957.0
11.04.2024;1645.0
12.04.2024;1835.0
13.04.2024;730.0
14.04.2024;947.0
15.04.2024;2432.0
16.04.2024;2530.0
17.04.2024;2525.0
18.04.2024;2413.0
19.04.2024;1650.0
20.04.2024;932.0
21.04.2024;1226.0
22.04.2024;2597.0
23.04.2024;2579.0
24.04.2024;2544.0
25.04.2024;2412.0
26.04.2024;2108.0
27.04.2024;1333.0
28.04.2024;944.0
29.04.2024;2095.0
30.04.2024;2776.0
01.05.2024;1373.0
02.05.2024;3058.0
03.05.2024;2605.0
04.05.2024;1437.0
05.05.2024;1106.0
06.05.2024;2893.0
07.05.2024;2558.0
08.05.2024;2640.0
09.05.2024;632.0
10.05.2024;1627.0
11.05.2024;1283.0
12.05.2024;1367.0
13.05.2024;3164.0
14.05.2024;3457.0
15.05.2024;3324.0
16.05.2024;3017.0
17.05.2024;793.0
18.05.2024;1402.0
19.05.2024;1351.0
20.05.2024;1447.0
21.05.2024;3406.0
22.05.2024;3549.0
23.05.2024;3292.0
24.05.2024;2394.0
25.05.2024;1652.0
26.05.2024;1364.0
27.05.2024;2346.0
28.05.2024;2843.0
29.05.2024;2724.0
30.05.2024;2617.0
31.05.2024;2584.0
01.06.2024;1501.0
02.06.2024;1411.0
03.06.2024;2396.0
04.06.2024;1820.0
05.06.2024;2227.0
06.06.2024;1932.0
07.06.2024;1716.0
08.06.2024;822.0
09.06.2024;591.0
10.06.2024;2455.0
11.06.2024;2875.0
12.06.2024;2625.0
13.06.2024;2544.0
14.06.2024;2326.0
15.06.2024;1216.0
16.06.2024;1013.0
17.06.2024;2058.0
18.06.2024;2400.0
19.06.2024;2438.0
20.06.2024;2146.0
21.06.2024;2242.0
22.06.2024;803.0
23.06.2024;873.0
24.06.2024;2690.0
25.06.2024;2550.0
26.06.2024;2464.0
27.06.2024;2431.0
28.06.2024;1568.0
29.06.2024;718.0
30.06.2024;810.0
01.07.2024;1599.0
02.07.2024;1432.0
03.07.2024;1811.0
04.07.2024;1476.0
05.07.2024;1590.0
06.07.2024;846.0
07.07.2024;569.0
08.07.2024;1055.0
09.07.2024;1620.0
