Dato;Trafikkmengde_num
01.01.2024;22.0
02.01.2024;137.0
03.01.2024;68.0
04.01.2024;253.0
05.01.2024;471.0
06.01.2024;171.0
07.01.2024;163.0
08.01.2024;744.0
09.01.2024;835.0
10.01.2024;922.0
11.01.2024;941.0
12.01.2024;819.0
13.01.2024;342.0
14.01.2024;266.0
15.01.2024;971.0
16.01.2024;624.0
17.01.2024;435.0
18.01.2024;795.0
19.01.2024;722.0
20.01.2024;160.0
21.01.2024;149.0
22.01.2024;709.0
23.01.2024;1368.0
24.01.2024;1462.0
25.01.2024;1917.0
26.01.2024;1041.0
27.01.2024;728.0
28.01.2024;657.0
29.01.2024;1919.0
30.01.2024;1333.0
31.01.2024;1616.0
01.02.2024;1574.0
02.02.2024;1617.0
03.02.2024;920.0
04.02.2024;822.0
05.02.2024;2210.0
06.02.2024;1394.0
07.02.2024;1466.0
08.02.2024;1389.0
09.02.2024;1086.0
10.02.2024;156.0
11.02.2024;228.0
12.02.2024;750.0
13.02.2024;982.0
14.02.2024;1195.0
15.02.2024;1251.0
16.02.2024;1349.0
17.02.2024;1032.0
18.02.2024;470.0
19.02.2024;1734.0
20.02.2024;1763.0
21.02.2024;1838.0
22.02.2024;1477.0
23.02.2024;1128.0
24.02.2024;859.0
25.02.2024;766.0
26.02.2024;2616.0
27.02.2024;2385.0
28.02.2024;2931.0
29.02.2024;1726.0
01.03.2024;1619.0
02.03.2024;895.0
03.03.2024;679.0
04.03.2024;2748.0
05.03.2024;2853.0
06.03.2024;1664.0
07.03.2024;2843.0
08.03.2024;2701.0
09.03.2024;1006.0
10.03.2024;577.0
11.03.2024;2124.0
12.03.2024;2685.0
13.03.2024;2183.0
14.03.2024;3095.0
15.03.2024;1740.0
16.03.2024;1363.0
17.03.2024;1290.0
18.03.2024;2998.0
19.03.2024;1942.0
20.03.2024;3278.0
21.03.2024;3120.0
22.03.2024;2967.0
23.03.2024;1057.0
24.03.2024;1072.0
25.03.2024;1930.0
26.03.2024;1379.0
27.03.2024;1206.0
28.03.2024;570.0
29.03.2024;773.0
30.03.2024;1065.0
31.03.2024;1216.0
01.04.2024;1460.0
02.04.2024;3271.0
03.04.2024;3550.0
04.04.2024;1248.0
05.04.2024;1421.0
06.04.2024;1035.0
07.04.2024;1358.0
08.04.2024;3769.0
09.04.2024;2919.0
10.04.2024;3868.0
11.04.2024;3811.0
12.04.2024;3091.0
13.04.2024;2471.0
14.04.2024;1488.0
15.04.2024;2907.0
16.04.2024;4563.0
17.04.2024;4550.0
18.04.2024;4423.0
19.04.2024;3246.0
20.04.2024;1815.0
21.04.2024;2062.0
22.04.2024;4191.0
23.04.2024;4326.0
24.04.2024;4229.0
25.04.2024;3640.0
26.04.2024;3598.0
27.04.2024;2368.0
28.04.2024;889.0
29.04.2024;3834.0
30.04.2024;4165.0
01.05.2024;2227.0
02.05.2024;4820.0
03.05.2024;4270.0
04.05.2024;2713.0
