Navn;Stasjon;Tid(norsk normaltid);Nedbør (døgn)
Kristiansand - Kvadraturen;SN39200;01.01.2024;98,1
Kristiansand - Kvadraturen;SN39200;02.01.2024;2,9
Kristiansand - Kvadraturen;SN39200;03.01.2024;9,2
Kristiansand - Kvadraturen;SN39200;04.01.2024;0,4
Kristiansand - Kvadraturen;SN39200;05.01.2024;0
Kristiansand - Kvadraturen;SN39200;06.01.2024;0
Kristiansand - Kvadraturen;SN39200;07.01.2024;0
Kristiansand - Kvadraturen;SN39200;08.01.2024;0
Kristiansand - Kvadraturen;SN39200;09.01.2024;0
Kristiansand - Kvadraturen;SN39200;10.01.2024;0,5
Kristiansand - Kvadraturen;SN39200;11.01.2024;0
Kristiansand - Kvadraturen;SN39200;12.01.2024;0
Kristiansand - Kvadraturen;SN39200;13.01.2024;0
Kristiansand - Kvadraturen;SN39200;14.01.2024;0
Kristiansand - Kvadraturen;SN39200;15.01.2024;0
Kristiansand - Kvadraturen;SN39200;16.01.2024;0,6
Kristiansand - Kvadraturen;SN39200;17.01.2024;16,6
Kristiansand - Kvadraturen;SN39200;18.01.2024;0
Kristiansand - Kvadraturen;SN39200;19.01.2024;0
Kristiansand - Kvadraturen;SN39200;20.01.2024;0,3
Kristiansand - Kvadraturen;SN39200;21.01.2024;11,5
Kristiansand - Kvadraturen;SN39200;22.01.2024;47,8
Kristiansand - Kvadraturen;SN39200;23.01.2024;6,4
Kristiansand - Kvadraturen;SN39200;24.01.2024;17,8
Kristiansand - Kvadraturen;SN39200;25.01.2024;1,9
Kristiansand - Kvadraturen;SN39200;26.01.2024;20,7
Kristiansand - Kvadraturen;SN39200;27.01.2024;24,9
Kristiansand - Kvadraturen;SN39200;28.01.2024;0
Kristiansand - Kvadraturen;SN39200;29.01.2024;0
Kristiansand - Kvadraturen;SN39200;30.01.2024;3,3
Kristiansand - Kvadraturen;SN39200;31.01.2024;15
Kristiansand - Kvadraturen;SN39200;01.02.2024;23,3
Kristiansand - Kvadraturen;SN39200;02.02.2024;1,9
Kristiansand - Kvadraturen;SN39200;03.02.2024;1,9
Kristiansand - Kvadraturen;SN39200;04.02.2024;3,2
Kristiansand - Kvadraturen;SN39200;05.02.2024;2,2
Kristiansand - Kvadraturen;SN39200;06.02.2024;0
Kristiansand - Kvadraturen;SN39200;07.02.2024;2,7
Kristiansand - Kvadraturen;SN39200;08.02.2024;3
Kristiansand - Kvadraturen;SN39200;09.02.2024;1
Kristiansand - Kvadraturen;SN39200;10.02.2024;5,1
Kristiansand - Kvadraturen;SN39200;11.02.2024;5,5
Kristiansand - Kvadraturen;SN39200;12.02.2024;0,4
Kristiansand - Kvadraturen;SN39200;13.02.2024;1,9
Kristiansand - Kvadraturen;SN39200;14.02.2024;3,3
Kristiansand - Kvadraturen;SN39200;15.02.2024;0
Kristiansand - Kvadraturen;SN39200;16.02.2024;25,6
Kristiansand - Kvadraturen;SN39200;17.02.2024;2,9
Kristiansand - Kvadraturen;SN39200;18.02.2024;0
Kristiansand - Kvadraturen;SN39200;19.02.2024;6,7
Kristiansand - Kvadraturen;SN39200;20.02.2024;0
Kristiansand - Kvadraturen;SN39200;21.02.2024;4
Kristiansand - Kvadraturen;SN39200;22.02.2024;26,3
Kristiansand - Kvadraturen;SN39200;23.02.2024;31,1
Kristiansand - Kvadraturen;SN39200;24.02.2024;10,7
Kristiansand - Kvadraturen;SN39200;25.02.2024;4,9
Kristiansand - Kvadraturen;SN39200;26.02.2024;2,3
Kristiansand - Kvadraturen;SN39200;27.02.2024;0
Kristiansand - Kvadraturen;SN39200;28.02.2024;7,9
Kristiansand - Kvadraturen;SN39200;29.02.2024;16,2
Kristiansand - Kvadraturen;SN39200;01.03.2024;39,8
Kristiansand - Kvadraturen;SN39200;02.03.2024;15,8
Kristiansand - Kvadraturen;SN39200;03.03.2024;8,9
Kristiansand - Kvadraturen;SN39200;04.03.2024;5,1
Kristiansand - Kvadraturen;SN39200;05.03.2024;0,1
Kristiansand - Kvadraturen;SN39200;06.03.2024;0,6
Kristiansand - Kvadraturen;SN39200;07.03.2024;1,4
Kristiansand - Kvadraturen;SN39200;08.03.2024;0
Kristiansand - Kvadraturen;SN39200;09.03.2024;0
Kristiansand - Kvadraturen;SN39200;10.03.2024;0,5
Kristiansand - Kvadraturen;SN39200;11.03.2024;0,1
Kristiansand - Kvadraturen;SN39200;12.03.2024;0
Kristiansand - Kvadraturen;SN39200;13.03.2024;0
Kristiansand - Kvadraturen;SN39200;14.03.2024;27,4
Kristiansand - Kvadraturen;SN39200;15.03.2024;9,7
Kristiansand - Kvadraturen;SN39200;16.03.2024;15,3
Kristiansand - Kvadraturen;SN39200;17.03.2024;1,5
Kristiansand - Kvadraturen;SN39200;18.03.2024;0
Kristiansand - Kvadraturen;SN39200;19.03.2024;0,5
Kristiansand - Kvadraturen;SN39200;20.03.2024;15
Kristiansand - Kvadraturen;SN39200;21.03.2024;0
Kristiansand - Kvadraturen;SN39200;22.03.2024;3,7
Kristiansand - Kvadraturen;SN39200;23.03.2024;0,1
Kristiansand - Kvadraturen;SN39200;24.03.2024;4,6
Kristiansand - Kvadraturen;SN39200;25.03.2024;3,5
Kristiansand - Kvadraturen;SN39200;26.03.2024;0,5
Kristiansand - Kvadraturen;SN39200;27.03.2024;3,3
Kristiansand - Kvadraturen;SN39200;28.03.2024;1,3
Kristiansand - Kvadraturen;SN39200;29.03.2024;13,7
Kristiansand - Kvadraturen;SN39200;30.03.2024;2
Kristiansand - Kvadraturen;SN39200;31.03.2024;11,6
Kristiansand - Kvadraturen;SN39200;01.04.2024;0,1
Kristiansand - Kvadraturen;SN39200;02.04.2024;0,1
Kristiansand - Kvadraturen;SN39200;03.04.2024;0
Kristiansand - Kvadraturen;SN39200;04.04.2024;1
Kristiansand - Kvadraturen;SN39200;05.04.2024;8,1
Kristiansand - Kvadraturen;SN39200;06.04.2024;6,5
Kristiansand - Kvadraturen;SN39200;07.04.2024;5,3
Kristiansand - Kvadraturen;SN39200;08.04.2024;10,9
Kristiansand - Kvadraturen;SN39200;09.04.2024;0,1
Kristiansand - Kvadraturen;SN39200;10.04.2024;15,8
Kristiansand - Kvadraturen;SN39200;11.04.2024;14,9
Kristiansand - Kvadraturen;SN39200;12.04.2024;0,8
Kristiansand - Kvadraturen;SN39200;13.04.2024;3,7
Kristiansand - Kvadraturen;SN39200;14.04.2024;6,6
Kristiansand - Kvadraturen;SN39200;15.04.2024;0,5
Kristiansand - Kvadraturen;SN39200;16.04.2024;6,5
Kristiansand - Kvadraturen;SN39200;17.04.2024;0
Kristiansand - Kvadraturen;SN39200;18.04.2024;0
Kristiansand - Kvadraturen;SN39200;19.04.2024;0,2
Kristiansand - Kvadraturen;SN39200;20.04.2024;0
Kristiansand - Kvadraturen;SN39200;21.04.2024;2,6
Kristiansand - Kvadraturen;SN39200;22.04.2024;0
Kristiansand - Kvadraturen;SN39200;23.04.2024;0
Kristiansand - Kvadraturen;SN39200;24.04.2024;0
Kristiansand - Kvadraturen;SN39200;25.04.2024;0
