Dato;Trafikkmengde_num
2024-01-01;106
2024-01-02;661
2024-01-03;780
2024-01-04;772
2024-01-05;690
2024-01-06;172
2024-01-07;82
2024-01-08;402
2024-01-09;305
2024-01-10;317
2024-01-11;374
2024-01-12;265
2024-01-13;78
2024-01-14;45
2024-01-15;318
2024-01-16;283
2024-01-17;254
2024-01-18;214
2024-01-19;198
2024-01-20;31
2024-01-21;43
2024-01-22;298
2024-01-23;256
2024-01-24;253
2024-01-25;314
2024-01-26;584
2024-01-27;108
2024-01-28;56
2024-01-29;152
2024-01-30;375
2024-01-31;521
2024-02-01;448
2024-02-02;508
2024-02-03;156
2024-02-04;136
2024-02-05;890
2024-02-06;811
2024-02-07;843
2024-02-08;824
2024-02-09;698
2024-02-10;167
2024-02-11;147
2024-02-12;894
2024-02-13;850
2024-02-14;773
2024-02-15;741
2024-02-16;720
2024-02-17;155
2024-02-18;101
2024-02-19;628
2024-02-20;657
2024-02-21;709
2024-02-22;718
2024-02-23;660
2024-02-24;132
2024-02-25;114
2024-02-26;552
2024-02-27;655
2024-02-28;657
2024-02-29;595
2024-03-01;477
2024-03-02;186
2024-03-03;159
2024-03-04;921
2024-03-05;960
2024-03-06;934
2024-03-07;809
2024-03-08;718
2024-03-09;179
2024-03-10;139
2024-03-11;935
2024-03-12;899
2024-03-13;889
2024-03-14;841
2024-03-15;693
2024-03-16;126
2024-03-17;112
2024-03-18;525
2024-03-19;753
2024-03-20;866
2024-03-21;839
2024-03-22;771
2024-03-23;233
2024-03-24;142
2024-03-25;446
2024-03-26;384
2024-03-27;272
2024-03-28;155
2024-03-29;175
2024-03-30;151
2024-03-31;175
2024-04-01;131
2024-04-02;992
2024-04-03;841
2024-04-04;896
2024-04-05;796
2024-04-06;191
2024-04-07;195
2024-04-08;874
2024-04-09;972
2024-04-10;995
2024-04-11;858
2024-04-12;907
2024-04-13;243
2024-04-14;415
2024-04-15;1076
2024-04-16;1141
2024-04-17;1171
2024-04-18;1148
2024-04-19;1007
2024-04-20;470
2024-04-21;481
2024-04-22;1264
2024-04-23;1311
2024-04-24;1147
2024-04-25;1220
2024-04-26;1192
2024-04-27;548
2024-04-28;711
2024-04-29;1568
2024-04-30;1698
2024-05-01;652
2024-05-02;1245
2024-05-03;1015
2024-05-04;381
2024-05-05;522
2024-05-06;1545
2024-05-07;1684
2024-05-08;1646
2024-05-09;594
2024-05-10;668
2024-05-11;470
2024-05-12;318
2024-05-13;1357
2024-05-14;1529
2024-05-15;1437
2024-05-16;1505
2024-05-17;534
2024-05-18;390
2024-05-19;326
2024-05-20;326
2024-05-21;1376
2024-05-22;1931
2024-05-23;1856
2024-05-24;1343
2024-05-25;594
2024-05-26;1204
2024-05-27;1915
2024-05-28;2510
2024-05-29;2317
2024-05-30;2330
2024-05-31;1867
2024-06-01;612
2024-06-02;849
2024-06-03;1951
2024-06-04;2131
2024-06-05;2487
2024-06-06;2124
2024-06-07;1533
2024-06-08;357
2024-06-09;1195
2024-06-10;2191
2024-06-11;2038
2024-06-12;1902
2024-06-13;2057
2024-06-14;1878
2024-06-15;941
2024-06-16;1230
2024-06-17;2460
2024-06-18;1915
2024-06-19;1833
2024-06-20;1743
2024-06-21;1506
2024-06-22;1400
2024-06-23;1129
2024-06-24;1529
2024-06-25;1131
2024-06-26;1602
2024-06-27;1806
2024-06-28;1679
2024-06-29;805
2024-06-30;786
2024-07-01;1894
2024-07-02;1763
2024-07-03;1792
2024-07-04;1994
2024-07-05;1660
2024-07-06;670
2024-07-07;1111
2024-07-08;1313
2024-07-09;1360
2024-07-10;1567
2024-07-11;1313
2024-07-12;1259
2024-07-13;876
2024-07-14;1085
2024-07-15;1435
2024-07-16;1442
2024-07-17;1593
2024-07-18;1673
2024-07-19;1366
2024-07-20;973
2024-07-21;1185
2024-07-22;1646
2024-07-23;1257
2024-07-24;920
2024-07-25;1438
2024-07-26;1326
2024-07-27;1138
2024-07-28;664
2024-07-29;1608
2024-07-30;1683
2024-07-31;1734
2024-08-01;1521
2024-08-02;1467
2024-08-03;1149
2024-08-04;704
2024-08-05;2279
2024-08-06;2454
2024-08-07;2313
2024-08-08;2292
2024-08-09;1650
2024-08-10;1089
2024-08-11;1420
2024-08-12;2431
2024-08-13;2779
2024-08-14;3014
2024-08-15;2083
2024-08-16;1447
2024-08-17;1224
2024-08-18;1505
2024-08-19;1385
2024-08-20;2698
2024-08-21;2427
2024-08-22;2410
2024-08-23;2150
2024-08-24;430
2024-08-25;756
2024-08-26;1844
2024-08-27;900
2024-08-28;1405
2024-08-29;2050
2024-08-30;1535
2024-08-31;739
2024-09-01;861
2024-09-02;2644
2024-09-03;2193
2024-09-04;2098
2024-09-05;1822
2024-09-06;1543
2024-09-07;448
2024-09-08;911
2024-09-09;2304
2024-09-10;2015
2024-09-11;2208
2024-09-12;1991
2024-09-13;1618
2024-09-14;560
2024-09-15;849
2024-09-16;1908
2024-09-17;1686
2024-09-18;1315
2024-09-19;1156
2024-09-20;926
2024-09-21;316
2024-09-22;508
2024-09-23;1638
2024-09-24;1397
2024-09-25;1797
2024-09-26;1331
2024-09-27;1361
2024-09-28;635
2024-09-29;309
2024-09-30;1052
2024-10-01;716
2024-10-02;1113
2024-10-03;905
2024-10-04;687
2024-10-05;241
2024-10-06;380
2024-10-07;1192
2024-10-08;1038
2024-10-09;1011
2024-10-10;1125
2024-10-11;860
2024-10-12;313
2024-10-13;307
2024-10-14;1266
2024-10-15;1036
2024-10-16;1020
2024-10-17;1196
2024-10-18;955
2024-10-19;635
2024-10-20;422
2024-10-21;1288
2024-10-22;1187
2024-10-23;1194
2024-10-24;1238
2024-10-25;715
2024-10-26;423
2024-10-27;275
2024-10-28;1048
2024-10-29;784
2024-10-30;680
2024-10-31;784
2024-11-01;737
2024-11-02;140
2024-11-03;123
2024-11-04;827
2024-11-05;661
2024-11-06;749
2024-11-07;905
2024-11-08;659
2024-11-09;238
2024-11-10;305
2024-11-11;1326
2024-11-12;1115
2024-11-13;844
2024-11-14;598
2024-11-15;672
2024-11-16;140
2024-11-17;123
2024-11-18;777
2024-11-19;918
2024-11-20;961
2024-11-21;855
2024-11-22;621
2024-11-23;112
2024-11-24;72
2024-11-25;703
2024-11-26;802
2024-11-27;729
2024-11-28;676
2024-11-29;224
2024-11-30;129
2024-12-01;118
2024-12-02;727
2024-12-03;760
2024-12-04;693
2024-12-05;700
2024-12-06;575
2024-12-07;140
2024-12-08;59
2024-12-09;410
2024-12-10;465
2024-12-11;572
2024-12-12;631
2024-12-13;629
2024-12-14;162
2024-12-15;170
2024-12-16;801
2024-12-17;762
2024-12-18;709
2024-12-19;674
2024-12-20;494
2024-12-21;163
2024-12-22;111
2024-12-23;294
2024-12-24;104
2024-12-25;44
2024-12-26;56
2024-12-27;155
2024-12-28;101
2024-12-29;93
2024-12-30;151
2024-12-31;167
